id,metric_name,modelo_registry_id,warning_treshold,critical_treshold,direction,valid_from,valid_to,,,,
130,gini_b_malo8_13,bb_5,0.3,0.2,higher_worse,01/01/25,31/01/25,,,,
131,ks_b_malo8_13,bb_5,0.2,0.1,lower_worse,01/01/25,31/01/25,,,,
132,ordering_violations_b_malo8_13,bb_5,1,2,lower_worse,01/01/25,31/01/25,,,,
133,gini_b_malo14_26,bb_5,0.3,0.2,higher_worse,01/01/25,31/01/25,,,,
134,ks_b_malo14_26,bb_5,0.2,0.1,lower_worse,01/01/25,31/01/25,,,,
135,ordering_violations_b_malo14_26,bb_5,1,2,lower_worse,01/01/25,31/01/25,,,,
139,gini_NUMPRESTAMOSPERS,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
140,gini_MAXANTCARD,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
141,gini_UTILTARGETHOLD,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
142,gini_EDOMEDIANCONTEOSREZ,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
143,gini_MONTOVENTAPESOS,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
144,gini_SLDTOTPRODCAP3,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
145,gini_ANTCAP,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
146,gini_AVGMTOINTERNET,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
147,gini_EDOMEDIANTI46REZ,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
148,gini_MINSLDTOTPRODCAP6M,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
149,gini_CTASPAGOMINCERRADAS,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
150,gini_AVGNUMSEMANASACT,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
151,gini_ANTDIG,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
152,gini_INTERCEPTO,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
153,gini_PROMTXNCOMPRA12M,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
154,gini_NUMPROMDIFSES,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
155,gini_CPMEANTI813REZ,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
156,gini_SLDPROMMENSUALN6,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
157,gini_MEANSEMVIDACARD,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
158,gini_EDAD,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
159,gini_STDNUMRETCLIENTE6M,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
160,gini_TPFCONSCDC12M,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
161,gini_KO3SV,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
162,gini_MINSEMULTCOMP,bb_5,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
163,psi,bb_6,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
164,null_rate,bb_6,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
168,gini_b_malo4_6,bb_6,0.3,0.2,higher_worse,01/01/25,31/01/25,,,,
169,ks_b_malo4_6,bb_6,0.2,0.1,lower_worse,01/01/25,31/01/25,,,,
170,ordering_violations_b_malo4_6,bb_6,3,4,lower_worse,01/01/25,31/01/25,,,,
171,gini_b_malo8_13,bb_6,0.3,0.2,higher_worse,01/01/25,31/01/25,,,,
172,ks_b_malo8_13,bb_6,0.2,0.1,lower_worse,01/01/25,31/01/25,,,,
173,ordering_violations_b_malo8_13,bb_6,3,4,lower_worse,01/01/25,31/01/25,,,,
174,gini_b_malo14_26,bb_6,0.3,0.2,higher_worse,01/01/25,31/01/25,,,,
175,ks_b_malo14_26,bb_6,0.2,0.1,lower_worse,01/01/25,31/01/25,,,,
176,ordering_violations_b_malo14_26,bb_6,3,4,lower_worse,01/01/25,31/01/25,,,,
180,gini_NUMNOMONETARIAS,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
181,gini_AVGNUMGUARDADITO6,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
182,gini_MONTOCOMPRADOLARES,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
183,gini_SLDPROMMENSUALN6,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
184,gini_SLDPROMMENSUAL,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
185,gini_AVGNUMSEMANASACT,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
186,gini_MINSLDTOTPRODCAP6M,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
187,gini_EDOMEANCONTEOSREZ,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
188,gini_AVGMTOINTERNET,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
189,gini_SLDVISTA,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
190,gini_ANTCAP,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
191,gini_NUMCONVENIENCIA,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
192,gini_INDCUENTACAPTA,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
193,gini_INDSINCUENTA,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
194,gini_EDOMEANTI813REZ,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
195,gini_EDAD,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
196,gini_CPMEANTI813REZ,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
197,gini_NUMPROMDIFSES,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
198,gini_INTERCEPTO,bb_6,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
199,psi,bb_7,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
200,null_rate,bb_7,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
204,gini_b_malo4_6,bb_7,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
205,ks_b_malo4_6,bb_7,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
206,ordering_violations_b_malo4_6,bb_7,3,4,lower_worse,01/01/25,31/01/25,,,,
207,gini_b_malo8_13,bb_7,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
208,ks_b_malo8_13,bb_7,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
209,ordering_violations_b_malo8_13,bb_7,3,4,lower_worse,01/01/25,31/01/25,,,,
