cliente_unico,num_periodo,vinculado,ant_cap,ant_dig,antg_capta_12m,antg_capta_3m,avg_mto_conveniencia,avg_mto_internet,avg_num_canal_cajero_6,avg_num_guardadito_6,avg_num_semanas_act,avg_sld_guardadito_6,cod_antiguedad,cod_nivel_cuenta,dias_ult_disp,disp_mensual,flg_compra_ta_12m,flg_dep_interes_12m,flg_dep_interes_3m,huella_digital,ind_cuenta_capta,ind_sin_cuenta,min_sld_tot_prod_cap_6m,monto_compra_dolares,monto_eeuu_u12meses,monto_pago,monto_u12meses,monto_venta_pesos,mto_dep_interes_12m,mto_dep_nomina_n3,mto_dep_nomina_n6,nom_giro_empresa,nu_fam2,num_conveniencia,num_dep_nomina_n3,num_no_monetarias,num_prom_dif_ses,num_tienda_desc,prom_txn_capta12m,prom_txn_capta3m,prom_txn_dep_interes_12m,prom_txn_dep_spei_3m,sld_fin_mes_n3,sld_fin_mes_n6,sld_prom_mensual,sld_prom_mensual_n3,sld_prom_mensual_n6,sld_prom_mes,sld_tot_prod_cap_3,sld_vista,std_num_ret_cliente_6m,txn_compra,txn_dispo_atm_12m,txn_dispo_atm_3m,txn_dispo_atm_6m,n_txn_mpg_6m,monto_u6meses,flg_ret_spei_12m,prom_txn_dispo_atm_12m,cod_tipo_cliente_geo,prom_txn_dep_spei_12m,mto_dispo_atm_3m,cod_etapa_comercial,prom_txn_compra_12m,cod_periodicidad,avg_num_canal_sucursal_6,ind_dig_mad_uu3,mto_ret_spei_3m,cod_tipo_dispersion_detalle,num_atm2,meses_sintxn_pago,sum_num_dep_interes_6,huella_captacion,segmento_mn,saldo_max_3,txn_total_capta_12m,mto_dep_spei_3m,cod_cat_cliente,flg_dispo_atm_12m,flg_ret_iva_12m,flg_dep_efectivo_12m,prom_txn_dispo_atm_6m,sld_tot_prod_cap_3m,monto_promedio,fcusuariocreacion,fdfechacreacion,num_periodo_mes
1-1-2150-119782,202511,6,1147,0,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,,,87221.46,6028.06,87221.46,,0.0,,0.0,,1.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,0,0,0,0,40830.7,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,0.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-1559-125319,202510,2,1936,1936,0,0,0.0,0.0,,,0.0,,,,,,0,0,0,0,,,,,,,,,0.0,,,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,3,3,3,3,,0,1137.5466667,NULL,0.0,3412.64,2,0.0,,0.0,0,0.0,,3.0,,,0,6,0.0,0,0.0,Churn,1,0,0,1137.5466667,0.0,0.0,ubdf_app_baz,1764082518,202510
1-1-5869-7915,202511,1,7261,1254,41,41,,,0.0,0.0,11.0,0.0,,,30.0,11841.08,0,0,0,1,,,1.254,,,,,,0.0,21796.32,36729.18,NECESIDADES DE LIQUIDEZ,7.0,,3.0,0.0,3218.559,,3618.095429,4168.532,0.0,21796.32,19.9,38.76,,1.61071667,1.46055833,,2.243,0.0,0.8944271909999159,,0,0,0,0,,1,0.0,NULL,66070.34,0.0,3,0.0,,0.0,0,19889.0,,0.0,,,1,6,11841.56,35,21796.32,Leal,0,0,1,0.0,2.4673000000000003,1.1215,ubdf_app_baz,1767398792,202511
1-1-8757-904792,202510,2,1948,1948,0,0,,,,,0.0,,,,,,0,0,0,0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1764082518,202510
1-1-6067-132907,202510,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,7266.05,0.0,7266.05,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,8.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-7456-58640,202510,2,2335,2335,0,0,,,0.0,1.0,0.0,2.0,,,,,0,0,0,0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,6.0,12.0,,2.0,1.5,,2.0,2.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,2.2,1.0,ubdf_app_baz,1764082518,202510
1-1-2956-90173,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-2188-102638,202510,3,0,0,0,0,,,,,,,2. 6 a 12 meses,,,,0,0,0,0,,,,0.0,,,,655.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-39-5782-11139,202510,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-213-133310,202511,2,975,975,32,32,40.603559,0.0,0.0,1.0,9.0,8011.18968333,,,,,0,1,1,1,,,5012.6545,,,,,,0.72,0.0,0.0,,2.0,27.0,0.0,2.0,5566.906,0.0,375.224727,867.739474,0.72,6350.0,35376.4,54069.84,,9429.19453333,8011.18968333,,9034.833,16529.897,28.09566989175853,,0,0,0,88,,1,0.0,NULL,9205.0,0.0,3,269.9681818,,0.0,0,7602.0,,0.0,,3.0,1,6,18449.78,110,6350.0,Leal,0,1,1,0.0,9938.316300000002,4517.4165,ubdf_app_baz,1767398792,202511
1-1-6012-46579,202510,6,1249,1249,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,,,159077.0,0.0,159077.0,,0.0,0.0,0.0,,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0,0,0,0,139938.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,1.0,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-2198-21035,202511,2,4561,1758,130,130,,,0.0,0.0,0.0,0.0,,,,,0,1,1,0,,,46332.8823,,,,,,565.0,0.0,0.0,,2.0,,0.0,,0.0,,23.541667,16.973333,565.0,0.0,418042.56,835170.39,,23218.32605,21408.34806154,,46290.447,13938.914,0.0,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,6.0,1,6,32510.43,24,0.0,Churn,0,0,0,0.0,50919.491700000006,23145.2235,ubdf_app_baz,1767398792,202511
1-33-9546-1492790,202511,2,957,957,31,31,,,0.16666666666666666,0.0,0.0,0.0,,,,,0,0,0,0,,,0.0,,,,,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,240.0,333.333333,0.0,500.0,0.0,0.0,,1.85185556,1.11111333,,1.389,0.0,0.5163977794943223,,0,0,0,0,,1,0.0,NULL,600.0,0.0,2,0.0,,0.0,0,500.0,,,,,1,6,500.0,5,500.0,Churn,0,0,0,0.0,1.5279,0.6945,ubdf_app_baz,1767398792,202511
1-1-3117-58079,202511,4,6745,2568,129,0,,,0.0,0.0,,0.0,7. 5 o mas anios,,,,0,1,0,0,,,,0.0,20265.0,0.0,20265.0,1277.0,0.02,0.0,0.0,,2.0,,0.0,,0.0,,0.81,0.0,0.02,0.0,219.78,474.36,,24.42,24.08,24.42,,,,0.0,0,0,0,0,13389.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,1.0,,0,9,0.0,2,0.0,Churn,0,1,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-6133-13099,202511,6,187,179,6,6,,,0.0,1.0,,28404.01348333,,,,,0,1,1,0,,,,,107992.25,24599.29,107992.25,,1.36,0.0,0.0,,2.0,,0.0,,,,1350.964,750.3,1.36,0.0,160720.63,202211.52,,48337.782,28404.01348333,68921.3787,,,,,0,0,0,0,96393.45,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,0.0,,1,9,63587.43,10,0.0,,0,1,1,0.0,,,ubdf_app_baz,1767398792,202511
1-1-1740-94533,202510,2,1011,1011,33,33,0.0,1397.15,0.0,1.0,7.0,58.23163333,,,,,0,0,0,1,,,0.0,,,,,,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,11343.025,0.0,1850.256731,1600.0,0.0,2800.0,5.7,308.94,,36.8041,43.673725,,66.606,149.107,0.983192080250175,,0,0,0,3,,1,0.0,NULL,44505.62,0.0,3,827.432,,0.0,0,400.0,,0.0,,,1,6,2800.0,52,2800.0,Leal,0,0,0,0.0,73.2666,33.303,ubdf_app_baz,1764082518,202510
1-1-2600-43749,202511,6,2127,2127,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-5364-80535,202510,2,3223,1172,0,0,,,0.0,0.0,0.0,0.0,,N4,,,0,0,0,0,0.0,1.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,6.0,0.61904762,1.0,0.75,,1.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,1.1,0.5,ubdf_app_baz,1764082518,202510
1-1-2083-2226,202510,6,5607,2270,0,0,,,0.0,1.0,,0.93,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,11.16,22.32,,0.93,0.6975,0.93,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-8757-1353287,202511,7,1975,0,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-20-1657-95,202510,6,7231,1138,0,0,,,0.0,0.0,,0.0,,,,,0,0,0,0,,,,,926.0,0.0,926.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,0,0,0,0,926.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,2.0,,0,9,0.0,0,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1764082518,202510
1-1-2684-124561,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,12.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-9-3181-25639,202510,2,879,315,29,29,0.0,32.25,0.16666666666666666,0.0,12.0,0.0,,,,,1,1,1,1,,,222.3103,,,,,,0.53,0.0,0.0,,2.0,0.0,0.0,4.0,2751.504,0.0,240.709865,884.512,0.53,0.0,28392.09,53718.52,,11420.92556667,8398.80166667,,6769.34,0.0,4.929503017546495,,4,3,3,6,,1,3144.75,NULL,0.0,5000.0,3,123.1428571,,0.0,0,3445.0,,3.0,,4.0,1,6,21200.57,74,0.0,Leal,1,1,0,1666.6666667,7446.274,3384.67,ubdf_app_baz,1764082518,202510
1-1-563-114282,202511,3,2772,2767,91,0,,,0.0,2.0,,0.97775,5. 3 a 4 anios,,,,0,0,0,0,,,,0.0,,,,1870.0,0.0,0.0,0.0,,2.0,,0.0,,0.0,,0.05,0.0,0.0,0.0,0.06,0.12,,0.005,0.45126923,,,,,0.0,0,0,0,0,,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,1,0.0,Churn,0,1,0,0.0,,,ubdf_app_baz,1767398792,202511
